row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,sensor,matched,n_img,B2,B3,B4,B8,B11,B12,lst_C
459,E49,LAGO MAYOR,2018-07-22,-15.6063,-69.4449,13.0,1.7,10.57,12.5,LS,1,2.0,0.0256,0.01845,0.01273,0.04399,0.03101,0.01207,12.71
460,E50,LAGO MAYOR,2018-07-22,-15.6687,-69.5211,11.0,1.7,15.43,12.3,LS,1,2.0,0.02566,0.01862,0.0128,0.0441,0.03114,0.01198,12.45
461,E51,LAGO MAYOR,2018-07-23,-15.7371,-69.6038,10.5,1.7,16.57,12.4,LS,1,2.0,0.02292,0.01704,0.01231,0.04449,0.03311,0.01434,11.54
462,E52,LAGO MAYOR,2018-07-23,-15.8028,-69.6843,12.0,2.21,6.57,12.7,LS,1,2.0,0.02566,0.01961,0.01322,0.04432,0.03116,0.01207,12.65
463,E53,LAGO MAYOR,2018-07-23,-15.8686,-69.7634,9.5,3.31,12.57,13.3,LS,1,2.0,0.02762,0.02171,0.01349,0.0443,0.03111,0.01217,12.81
464,E58,LAGO MAYOR,2018-07-24,-15.9519,-69.5453,,2.8,19.14,11.9,LS,1,1.0,0.02322,0.01792,0.01173,0.04344,0.03084,0.01211,12.47
465,E59,LAGO MAYOR,2017-07-16,-15.8876,-69.4615,10.0,1.62,34.29,12.0,LS,1,1.0,0.02286,0.01782,0.01216,0.04359,0.0313,0.01254,13.25
466,E60,LAGO MAYOR,2018-07-24,-15.8271,-69.3776,13.5,2.21,15.71,12.2,LS,1,1.0,0.02523,0.01862,0.01303,0.04475,0.03154,0.0126,12.48
467,E61,LAGO MAYOR,2018-07-24,-15.7585,-69.3045,13.0,2.21,8.57,12.5,LS,1,1.0,0.02489,0.01801,0.01234,0.04415,0.03091,0.01204,12.74
468,E65,LAGO MAYOR,2018-07-24,-15.6901,-69.2315,,2.29,4.0,12.5,LS,1,1.0,0.02445,0.02081,0.01282,0.04428,0.03136,0.01239,12.93
469,E72,LAGO MAYOR,2018-07-24,-15.6921,-69.1709,4.0,1.1,23.71,11.8,LS,1,1.0,0.02484,0.02245,0.0123,0.04366,0.03225,0.01324,12.61
470,E76,LAGO MAYOR,2018-07-24,-15.8125,-69.0449,13.0,0.59,4.57,13.1,LS,1,1.0,0.02309,0.01821,0.01257,0.0442,0.03126,0.01226,13.03
471,E78,LAGO MAYOR,2018-07-24,-15.8903,-69.1327,13.0,1.1,6.86,13.1,LS,1,1.0,0.0237,0.0178,0.0125,0.04398,0.03095,0.01186,12.57
472,E79,LAGO MAYOR,2018-07-25,-15.96,-69.2272,10.5,1.62,1.14,12.3,LS,1,1.0,0.02412,0.01776,0.01251,0.04382,0.03091,0.01193,12.72
473,E80,LAGO MAYOR,2018-07-25,-16.0316,-69.3198,12.3,2.21,0.29,13.0,LS,1,1.0,0.02457,0.01806,0.01254,0.04399,0.03093,0.01191,12.73
