sensor,station,zona,date,lat,lon,secchi,w1_n,w1_B2,w1_B3,w1_B4,w1_B8,w1_B11,w1_B12,w3_n,w3_B2,w3_B3,w3_B4,w3_B8,w3_B11,w3_B12,w5_n,w5_B2,w5_B3,w5_B4,w5_B8,w5_B11,w5_B12,w10_n,w10_B2,w10_B3,w10_B4,w10_B8,w10_B11,w10_B12
S2,E94,LAGO MAYOR,2016-08-10,-16.251000,-69.288400,7.400000,0,,,,,,,0,,,,,,,1,0.012620,0.011863,0.005296,0.003271,0.002282,0.002078,2,0.012375,0.012368,0.005382,0.003632,0.002420,0.002426
S2,E97,LAGO MAYOR,2016-08-10,-16.175700,-69.195800,9.500000,0,,,,,,,0,,,,,,,1,0.010901,0.010749,0.004216,0.002010,0.001007,0.000982,2,0.010220,0.010111,0.003721,0.001990,0.000922,0.001080
S2,E98,LAGO MAYOR,2016-08-10,-16.111700,-69.101600,9.000000,0,,,,,,,0,,,,,,,1,0.011540,0.010916,0.005414,0.003135,0.002455,0.002940,2,0.010665,0.010327,0.004368,0.002594,0.002261,0.002363
S2,E99,LAGO MAYOR,2016-08-12,-16.074500,-69.074200,9.200000,0,,,,,,,0,,,,,,,1,0.011462,0.011156,0.004122,0.002564,0.001908,0.002191,2,0.012831,0.012465,0.005723,0.003693,0.002713,0.002920
S2,E100,LAGO MAYOR,2016-08-12,-16.005500,-68.995900,10.200000,0,,,,,,,0,,,,,,,2,0.011340,0.010039,0.004177,0.002004,0.001504,0.001024,4,0.011240,0.010039,0.004177,0.001995,0.001535,0.001202
S2,E104,LAGO MAYOR,2016-08-11,-15.994000,-68.880400,11.500000,0,,,,,,,0,,,,,,,1,0.009565,0.008952,0.002939,0.001206,0.000986,0.001006,2,0.006542,0.006588,0.001483,0.000603,0.000761,0.001031
S2,E113,LAGO MAYOR,2016-08-10,-16.217400,-69.136700,9.300000,0,,,,,,,0,,,,,,,1,0.010911,0.010439,0.004589,0.002311,0.001023,0.000987,2,0.010813,0.010214,0.004270,0.002358,0.001060,0.001030
S2,E117,LAGO MAYOR,2016-08-10,-16.165300,-69.102700,10.000000,0,,,,,,,0,,,,,,,1,0.011697,0.011694,0.005160,0.002838,0.001932,0.002053,2,0.010859,0.011053,0.004723,0.002643,0.002116,0.002176
S2,E119,LAGO MAYOR,2016-08-10,-16.043900,-69.130900,10.500000,0,,,,,,,0,,,,,,,1,0.013171,0.013216,0.006715,0.004522,0.003642,0.003559,2,0.012169,0.011781,0.005840,0.003948,0.003451,0.003125
S2,E120,LAGO MAYOR,2016-08-12,-16.126400,-68.933700,14.200000,0,,,,,,,0,,,,,,,2,0.010080,0.010551,0.003545,0.001911,0.001282,0.001237,4,0.010046,0.010332,0.003465,0.001874,0.001198,0.001167
S2,E121,LAGO MAYOR,2016-08-12,-16.206800,-68.864300,10.500000,0,,,,,,,0,,,,,,,1,0.009080,0.009788,0.003000,0.001632,0.002909,0.002956,2,0.005508,0.006880,0.001500,0.000816,0.001950,0.002456
S2,E01,BAHIA PUNO,2017-07-10,-15.853000,-69.960500,5.300000,0,,,,,,,1,0.006761,0.012429,0.004101,0.003579,0.005625,0.004291,2,0.009009,0.012664,0.003859,0.003284,0.005746,0.004342,3,0.011257,0.012926,0.004161,0.003604,0.005984,0.004570
S2,E02,BAHIA PUNO,2017-07-11,-15.846100,-69.927100,6.000000,2,0.009688,0.011896,0.003841,0.001338,0.000718,0.000529,2,0.009688,0.011896,0.003841,0.001338,0.000718,0.000529,4,0.011968,0.012765,0.003985,0.001600,0.000965,0.000776,6,0.014023,0.013529,0.004274,0.001758,0.001255,0.001118
S2,E05,BAHIA PUNO,2017-07-11,-15.840000,-69.892300,6.600000,2,0.010387,0.011387,0.003052,0.001300,0.000396,0.000575,2,0.010387,0.011387,0.003052,0.001300,0.000396,0.000575,4,0.012294,0.012153,0.003471,0.001346,0.000808,0.000707,6,0.013977,0.012792,0.003783,0.001523,0.001224,0.001014
S2,E14,BAHIA PUNO,2017-07-12,-15.748900,-69.783000,10.600000,1,0.009445,0.009773,0.003434,0.001530,0.000479,0.000766,1,0.009445,0.009773,0.003434,0.001530,0.000479,0.000766,2,0.012362,0.011689,0.004840,0.002593,0.001639,0.001880,4,0.013830,0.011853,0.004863,0.002620,0.001844,0.002219
S2,E15,BAHIA PUNO,2017-07-12,-15.715000,-69.822600,6.600000,1,0.010199,0.011365,0.002971,0.001315,0.000986,0.001290,1,0.010199,0.011365,0.002971,0.001315,0.000986,0.001290,2,0.013328,0.013596,0.004604,0.002820,0.002143,0.002251,2,0.013328,0.013596,0.004604,0.002820,0.002143,0.002251
S2,E16,BAHIA PUNO,2017-07-12,-15.673700,-69.854100,6.000000,2,0.009456,0.013869,0.003900,0.000674,0.001707,0.001952,2,0.009456,0.013869,0.003900,0.000674,0.001707,0.001952,4,0.013546,0.016560,0.005989,0.002462,0.003880,0.003585,4,0.013546,0.016560,0.005989,0.002462,0.003880,0.003585
S2,E17,BAHIA PUNO,2017-07-11,-15.604800,-69.905900,4.200000,2,0.014541,0.021096,0.007946,0.002437,0.002770,0.002866,2,0.014541,0.021096,0.007946,0.002437,0.002770,0.002866,2,0.014541,0.021096,0.007946,0.002437,0.002770,0.002866,4,0.019114,0.023169,0.010045,0.004319,0.005343,0.004746
S2,E28,LAGO MAYOR,2017-07-12,-15.392800,-69.782200,10.300000,2,0.010589,0.011061,0.002275,0.000434,0.000176,0.000430,2,0.010589,0.011061,0.002275,0.000434,0.000176,0.000430,4,0.011629,0.011617,0.002870,0.000928,0.001477,0.001610,4,0.011629,0.011617,0.002870,0.000928,0.001477,0.001610
S2,E32,LAGO MAYOR,2017-07-12,-15.338400,-69.720500,7.000000,1,0.009520,0.009326,0.000430,0.000000,0.000113,0.001228,1,0.009520,0.009326,0.000430,0.000000,0.000113,0.001228,2,0.012608,0.012327,0.001970,0.000672,0.001455,0.002584,2,0.012608,0.012327,0.001970,0.000672,0.001455,0.002584
S2,E36,LAGO MAYOR,2017-07-13,-15.297100,-69.681400,10.800000,0,,,,,,,1,0.009006,0.009449,0.000916,0.000000,0.000243,0.000594,2,0.010549,0.010144,0.001514,0.000590,0.001698,0.001847,2,0.010549,0.010144,0.001514,0.000590,0.001698,0.001847
S2,E39,LAGO MAYOR,2017-07-13,-15.374800,-69.527600,8.400000,0,,,,,,,1,0.011337,0.014498,0.000758,0.000000,0.001580,0.002351,2,0.008337,0.010221,0.000379,0.000000,0.002566,0.003209,2,0.008337,0.010221,0.000379,0.000000,0.002566,0.003209
S2,E41,LAGO MAYOR,2017-07-13,-15.439200,-69.600900,13.000000,0,,,,,,,2,0.006509,0.006578,0.001040,0.000193,0.000213,0.000181,4,0.006706,0.006578,0.001040,0.000193,0.000808,0.000778,4,0.006706,0.006578,0.001040,0.000193,0.000808,0.000778
S2,E42,LAGO MAYOR,2017-07-13,-15.496700,-69.668500,14.000000,0,,,,,,,1,0.010834,0.010479,0.002800,0.000700,0.000212,0.000175,2,0.013897,0.011646,0.004019,0.001740,0.001368,0.001168,2,0.013897,0.011646,0.004019,0.001740,0.001368,0.001168
S2,E43,LAGO MAYOR,2017-07-13,-15.560300,-69.741100,12.000000,0,,,,,,,1,0.009824,0.008989,0.002777,0.000849,0.000367,0.000629,2,0.013408,0.011187,0.004467,0.002410,0.001667,0.001788,2,0.013408,0.011187,0.004467,0.002410,0.001667,0.001788
S2,E22,LAGO MAYOR,2017-07-13,-15.618100,-69.807000,9.000000,0,,,,,,,1,0.009931,0.008873,0.001847,0.000395,0.000901,0.001293,2,0.013187,0.010961,0.003491,0.001698,0.002107,0.002505,2,0.013187,0.010961,0.003491,0.001698,0.002107,0.002505
S2,E48,LAGO MAYOR,2017-07-15,-15.536100,-69.359700,12.000000,0,,,,,,,1,0.013011,0.011217,0.004866,0.004019,0.003802,0.003191,2,0.010096,0.008875,0.003200,0.002231,0.002271,0.001861,2,0.010096,0.008875,0.003200,0.002231,0.002271,0.001861
S2,E49,LAGO MAYOR,2017-07-15,-15.606300,-69.444900,9.000000,0,,,,,,,1,0.014833,0.011294,0.005871,0.003893,0.003681,0.003340,2,0.011150,0.009402,0.003835,0.002213,0.002048,0.001949,2,0.011150,0.009402,0.003835,0.002213,0.002048,0.001949
S2,E50,LAGO MAYOR,2017-07-15,-15.668700,-69.521100,12.000000,0,,,,,,,1,0.015120,0.011301,0.005614,0.003847,0.003652,0.003443,2,0.012662,0.010678,0.005018,0.003260,0.002970,0.002928,2,0.012662,0.010678,0.005018,0.003260,0.002970,0.002928
S2,E51,LAGO MAYOR,2017-07-15,-15.737100,-69.603800,9.800000,0,,,,,,,1,0.013786,0.010317,0.004407,0.003017,0.002478,0.002003,2,0.011907,0.009648,0.003731,0.002142,0.001438,0.001267,2,0.011907,0.009648,0.003731,0.002142,0.001438,0.001267
S2,E52,LAGO MAYOR,2017-07-15,-15.802800,-69.684300,9.000000,0,,,,,,,1,0.013998,0.011156,0.004441,0.003151,0.002373,0.002665,2,0.011749,0.009959,0.003565,0.002122,0.001950,0.001982,4,0.012671,0.010004,0.003611,0.002127,0.001950,0.002014
S2,E59,LAGO MAYOR,2017-07-16,-15.887600,-69.461500,10.000000,1,0.015051,0.011594,0.005826,0.003675,0.002691,0.002800,1,0.015051,0.011594,0.005826,0.003675,0.002691,0.002800,2,0.012139,0.009728,0.003955,0.002293,0.001538,0.001553,4,0.013460,0.010230,0.004391,0.002408,0.002083,0.001894
S2,E60,LAGO MAYOR,2017-07-16,-15.827100,-69.377600,10.000000,1,0.013390,0.010080,0.004647,0.002649,0.002401,0.002617,1,0.013390,0.010080,0.004647,0.002649,0.002401,0.002617,2,0.010467,0.008602,0.003092,0.001403,0.001376,0.001345,4,0.012534,0.009000,0.003313,0.001426,0.001704,0.001883
