row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
16,E25,LAGO MAYOR,2016-08-05,-15.4913,-69.893,,0.32,18.75,13.2,8.73,6.89,1,2,0.01692,0.01617,0.01662,0.00675,0.00567,0.00491,0.00447,0.00478,0.0041,0.00426,0.00408
17,E27,LAGO MAYOR,2016-08-05,-15.4508,-69.8379,9.8,0.04,24.75,12.9,8.68,6.62,1,2,0.01228,0.01208,0.01192,0.00314,0.00244,0.00162,0.00158,0.00155,0.00136,0.0007,0.00106
18,E28,LAGO MAYOR,2016-08-05,-15.3928,-69.7822,8.8,0.28,25.25,12.9,8.54,6.5,1,2,0.01637,0.01572,0.01545,0.00396,0.00242,0.00145,0.0014,0.00135,0.00124,0.00045,0.0005
19,E32,LAGO MAYOR,2016-08-05,-15.3384,-69.7205,9.8,0.62,19.0,13.1,8.57,5.94,1,1,0.00867,0.00932,0.00945,0.00023,0.0,0.0,0.0,0.0,0.0,4e-05,0.00143
20,E33,LAGO MAYOR,2016-08-05,-15.333,-69.756,4.6,0.32,23.75,13.2,8.66,6.7,1,1,0.02653,0.03641,0.05426,0.03427,0.02295,0.00142,0.00199,0.00124,0.00068,0.00017,0.00107
21,E36,LAGO MAYOR,2016-08-05,-15.2971,-69.6814,9.0,0.02,14.75,12.8,8.56,6.07,1,1,0.00846,0.00948,0.01018,0.00087,0.00014,0.0,1e-05,0.0,0.0,0.00011,0.00072
22,E39,LAGO MAYOR,2016-08-06,-15.3748,-69.5276,5.0,1.76,17.0,12.5,8.56,6.2,1,1,0.00603,0.00954,0.01181,0.0,0.0,0.0,0.0,0.0,0.0,0.00238,0.00308
23,E41,LAGO MAYOR,2016-08-06,-15.4392,-69.6009,11.0,0.27,16.5,12.4,8.55,5.92,1,2,0.01148,0.01206,0.01117,0.00366,0.00293,0.00192,0.00176,0.00143,0.00132,0.00153,0.00132
24,E42,LAGO MAYOR,2016-08-06,-15.4967,-69.6685,11.0,0.37,23.25,12.5,8.64,5.83,1,1,0.0171,0.01402,0.01192,0.00516,0.0038,0.00271,0.00225,0.00233,0.00198,0.001,0.00092
25,E43,LAGO MAYOR,2016-08-04,-15.5603,-69.7411,11.0,0.43,0.75,13.1,8.56,5.98,1,1,0.01788,0.01441,0.01272,0.00528,0.00432,0.00304,0.00288,0.00289,0.00253,0.00155,0.00106
26,E22,LAGO MAYOR,2016-08-05,-15.6181,-69.807,10.2,0.09,20.0,12.6,8.62,5.9,1,1,0.01578,0.0129,0.01127,0.00352,0.00262,0.002,0.00172,0.00152,0.00067,0.00132,0.00155
27,E48,LAGO MAYOR,2016-08-08,-15.5361,-69.3597,14.5,0.24,17.25,13.4,8.56,5.77,1,1,0.0125,0.01223,0.01049,0.00445,0.0034,0.00308,0.0027,0.00365,0.00302,0.00297,0.00258
