row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
201,E35,LAGO MAYOR,2015-07-19,2015-07-19,2015,7,-15.2409,-69.6964,LS,E35|2015-07-19|8.0,8.0,1.1,2.67,12.59,0.01530389692685699,0.014847951738577517,0.005133575035243448,0.0027306180860998674,0.0022689865970471727,0.0021809276562407423,0.6893241648215754,-0.4861678653051482,1.0307075457678991,0.3457429536333008,0.970207185747147,2.9811376751393994
202,E36,LAGO MAYOR,2015-07-19,2015-07-19,2015,7,-15.2971,-69.6814,LS,E36|2015-07-19|10.0,10.0,1.19,1.0,13.01,0.015716793707509637,0.015213730969652645,0.0054107792633306725,0.0025288289213915155,0.001699559084379288,0.0019780068933475557,0.7149420044918113,-0.4753058918867763,1.0330662942439415,0.3556510180489403,0.9679919635511544,2.9047185327453993
203,E37,LAGO MAYOR,2015-07-19,2015-07-19,2015,7,-15.3413,-69.6373,LS,E37|2015-07-19|10.0,10.0,0.51,1.0,13.07,0.015298735717098833,0.014242753374435037,0.005201809922157226,0.002711700351908458,0.0021689520340109243,0.002199374998321942,0.6801193673666107,-0.4649599401855599,1.0741416523028176,0.36522499689345134,0.9309757817138221,2.9410403311534328
204,E38,LAGO MAYOR,2015-07-19,2015-07-19,2015,7,-15.3782,-69.6351,LS,E38|2015-07-19|9.0,9.0,0.52,2.0,13.51,0.015001966156004742,0.013371533751328825,0.00503122270487278,0.0025036052758029732,0.0018996282104517884,0.0020394980336182183,0.6845878812376931,-0.45320985544182224,1.1219330043257667,0.37626366744272133,0.8913186925607077,2.9817728322187738
205,E39,LAGO MAYOR,2015-07-19,2015-07-19,2015,7,-15.3748,-69.5276,LS,E39|2015-07-19|6.0,6.0,0.6,1.0,13.25,0.016498716985870587,0.02090658591147643,0.0062466566280244586,0.0028315126684540434,0.0022535966642723664,0.002291611708727934,0.7614372491007693,-0.5398960629556318,0.7891635806327529,0.2987889249677301,1.2671642687256501,2.6412071812375606
206,E40,LAGO MAYOR,2015-07-20,2015-07-20,2015,7,-15.3951,-69.5361,LS,E40|2015-07-20|10.0,10.0,1.86,2.0,12.66,0.01425359074107182,0.01107710039276667,0.004562107857340554,0.0024594638960230217,0.0015456597566312104,0.0017135949901837073,0.636619135866049,-0.41658068712019114,1.286761783220599,0.41185032939389754,0.7771444976109376,3.1243425325411547
207,E41,LAGO MAYOR,2015-07-20,2015-07-20,2015,7,-15.4392,-69.6009,LS,E41|2015-07-20|11.0,11.0,0.6,0.67,12.92,0.014547779697286831,0.011323170057308117,0.004852106126724111,0.0025981939467600093,0.0018842382776769785,0.0021501820861054106,0.626732802997298,-0.40005892059593606,1.284779645530261,0.42851124496547294,0.7783434664656372,2.9982395930958616
208,E42,LAGO MAYOR,2015-07-20,2015-07-20,2015,7,-15.4967,-69.6685,LS,E42|2015-07-20|10.0,10.0,1.19,1.67,13.58,0.014465200341156302,0.011090401455714856,0.004690048270303888,0.0025414407441857884,0.001591829554955633,0.0020026033494558206,0.6271316788320582,-0.40558747633602704,1.304298955688702,0.4228925225240242,0.7666952705428658,3.0842320639883254
209,E43,LAGO MAYOR,2015-07-21,2015-07-21,2015,7,-15.5603,-69.7411,LS,E43|2015-07-21|9.0,9.0,1.78,4.0,12.95,0.014705196594910652,0.011708900882805524,0.0049032822919094455,0.0025540525669800578,0.0016687792188296718,0.0018980684109956942,0.6418619892572884,-0.4096763266840466,1.2558988658454109,0.4187653411896718,0.7962423358974706,2.999050986748948
210,E44,LAGO MAYOR,2015-07-21,2015-07-21,2015,7,-15.4333,-69.4798,LS,E44|2015-07-21|8.0,8.0,1.62,6.67,12.73,0.014106496262964315,0.011063799329818484,0.004745489115921333,0.002547746655582925,0.0020150527062628466,0.0020026033494558206,0.6256491406428054,-0.3996580767012124,1.2750136338727427,0.42892035055365,0.7843052122418629,2.972611030341499
211,E45,LAGO MAYOR,2015-07-21,2015-07-21,2015,7,-15.4932,-69.4733,LS,E45|2015-07-21|10.0,10.0,0.59,3.33,12.8,0.014152947150787737,0.010245783958505018,0.0044171087226487745,0.0021063328577834023,0.0015379647902438072,0.0016582529639401107,0.6589518673460458,-0.3975119347245787,1.381343372724155,0.4311147208864789,0.7239328406594036,3.2041194444906718
212,E46,LAGO MAYOR,2015-07-21,2015-07-21,2015,7,-15.5016,-69.4082,LS,E46|2015-07-21|9.0,9.0,2.21,7.0,13.26,0.014189075619094844,0.01060491265810605,0.004472549568266219,0.002371181136463115,0.0016226094205052492,0.0017258932182378402,0.6345307777104839,-0.4067237968197198,1.33797181915283,0.42174313836563376,0.7473997739806809,3.172479640536569
213,E48,LAGO MAYOR,2015-07-22,2015-07-22,2015,7,-15.5358,-69.3597,LS,E48|2015-07-22|10.0,10.0,1.1,4.67,14.04,0.014026497511712864,0.010425348308305535,0.004357403196599218,0.002345957490874573,0.001676474185217075,0.001799682586562634,0.6326205254069727,-0.41047464670013517,1.345422306429427,0.41796232123635585,0.7432609285631636,3.219003075881735
214,E49,LAGO MAYOR,2015-07-22,2015-07-22,2015,7,-15.6067,-69.4456,LS,E49|2015-07-22|9.0,9.0,1.11,5.33,13.12,0.014529715463133277,0.011276616336989466,0.004852106126724111,0.002686476706319916,0.0020304426390376565,0.002057945375699417,0.6152031637132488,-0.39832725911131317,1.2884817342762025,0.43028028545477676,0.7761071157583833,2.9945166262112144
215,E50,LAGO MAYOR,2015-07-22,2015-07-22,2015,7,-15.6688,-69.5213,LS,E50|2015-07-22|10.0,10.0,1.62,6.0,12.47,0.014594230585110253,0.011349772183204493,0.004869164848452556,0.0026171116809514186,0.0017457288827037107,0.002076392717780616,0.6252403873296218,-0.39957038630412905,1.2858609903065676,0.42900988150653047,0.7776889188728568,2.9972753114885924
216,E51,LAGO MAYOR,2015-07-23,2015-07-23,2015,7,-15.7371,-69.6038,LS,E51|2015-07-23|10.0,10.0,1.1,2.33,12.63,0.014594230585110253,0.011130304644559415,0.004596225300797442,0.002276592465506079,0.0016226094205052492,0.0018242790426708996,0.6603848337152824,-0.41548128868758,1.3112156171779554,0.4129469079803855,0.7626509542246195,3.175263712010473
