row_id,station,zona,campaign_date,date,year,month,lat,lon,sensor,event_id,secchi,chl,tss,temp_insitu,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
0,E45,LAGO MAYOR,2017-07-27,2017-07-27,2017,7,-15.8939,-69.3092,S2,E45|2017-07-27|11.0,11.0,0.41,,12.4,0.01171,0.00908,0.00325,0.00159,0.00125,0.00141,0.7019680691688783,-0.4728304563803361,1.2896474350608553,0.3579294759989564,0.7754055699909846,3.603075814438211
1,E01,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.853,-69.9605,S2,E01|2016-08-03|8.5,8.5,0.18,30.0,12.9,0.00987,0.01249,0.00476,0.00388,0.00612,0.00525,0.5259620937103181,-0.4481159160512512,0.7902321224794139,0.38110485339432726,1.265450732983715,2.0735289761493747
2,E02,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.8482,-69.9182,S2,E02|2016-08-03|9.5,9.5,0.03,38.75,13.0,0.01416,0.01338,0.0039,0.0017,0.00072,0.00081,0.77453575765678,-0.5486110793627847,1.058295885030203,0.29147979884306435,0.9449151875059896,3.6307682998030004
4,E04,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.8789,-69.8907,S2,E04|2016-08-03|7.0,7.0,1.27,1.5,13.2,0.01312,0.01334,0.0034,0.00133,0.00165,0.00237,0.8186775174725619,-0.5937873002516547,0.9835081721508118,0.25487254461225306,1.0167682151853494,3.858822394464002
5,E05,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.8398,-69.8918,S2,E05|2016-08-03|7.0,7.0,0.37,37.25,13.0,0.01402,0.01291,0.0037,0.00168,0.00093,0.00067,0.7697052248317188,-0.5544852164668744,1.085979776453929,0.28659951304418957,0.9208273237640996,3.7891881650842794
7,E07,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.7748,-69.8851,S2,E07|2016-08-03|5.0,5.0,0.25,39.5,12.6,0.01262,0.01436,0.00341,0.00167,0.00078,0.00088,0.7916406243518014,-0.6162070559253204,0.8788300223655974,0.23746516452192448,1.137876296523273,3.700878680094229
8,E08,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.801,-69.8724,S2,E08|2016-08-03|8.5,8.5,0.76,21.5,12.7,0.01261,0.01173,0.00327,0.00155,0.00046,0.00092,0.7665662073368821,-0.5639999624000025,1.0750212212258123,0.27877235475086487,0.9302140420131609,3.8562679338630175
9,E09,BAHIA PUNO,2016-08-03,2016-08-03,2016,8,-15.8342,-69.8592,S2,E09|2016-08-03|6.0,6.0,0.49,44.0,12.8,0.01391,0.01795,0.00424,0.00164,0.00111,0.00087,0.832567594049638,-0.6178458486775192,0.7749303189453861,0.23621168600491999,1.2904384406586311,3.280659603618018
11,E13,BAHIA PUNO,2016-08-04,2016-08-04,2016,8,-15.7895,-69.7698,S2,E13|2016-08-04|9.0,9.0,0.88,20.0,12.5,0.01125,0.01022,0.00353,0.00141,0.00062,0.00057,0.7575235806084626,-0.48654541916033317,1.1007826711562945,0.34540114037170844,0.9084443636938344,3.186967935703134
12,E14,BAHIA PUNO,2016-08-04,2016-08-04,2016,8,-15.7489,-69.783,S2,E14|2016-08-04|9.5,9.5,0.21,17.0,12.7,0.01115,0.01042,0.00264,0.00096,0.00039,0.00088,0.8312828795006256,-0.5957120523957081,1.07005747888124,0.25335890082928014,0.934529064167797,4.223483248680588
