station,zona,campaign_date,year,month,sensor,lat,lon,secchi,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
E43,LAGO MAYOR,2016-08-04,2016,8,S2,-15.5603,-69.7411,11.0,0.01441,0.01272,0.00528,0.00289,0.00155,0.00106,0.6297244952130369,-0.41333331037037163,1.1328615461586835,0.4150943069894413,0.8827202718445336,2.729166149779138
E22,LAGO MAYOR,2016-08-05,2016,8,S2,-15.6181,-69.807,10.2,0.0129,0.01127,0.00352,0.00152,0.00132,0.00155,0.7623142484508015,-0.5240026691005633,1.1446316641853005,0.31233360139009747,0.8736433431284231,3.6647716861444075
E48,LAGO MAYOR,2016-08-08,2016,8,S2,-15.5361,-69.3597,14.5,0.01223,0.01049,0.00445,0.00365,0.00297,0.00258,0.4837340534841546,-0.4042837748136697,1.1658721481532748,0.4242134962618212,0.8577268309299403,2.7483139891429236
E49,LAGO MAYOR,2016-08-08,2016,8,S2,-15.6063,-69.4449,12.8,0.01275,0.01188,0.00553,0.00358,0.00243,0.00243,0.5368693055065132,-0.36473289116985114,1.0732322328929096,0.4654881763057091,0.931764632802774,2.3056053696916146
E50,LAGO MAYOR,2016-08-08,2016,8,S2,-15.6687,-69.5211,11.9,0.01225,0.01207,0.00537,0.00326,0.0021,0.00209,0.5746901125446764,-0.38417428989826324,1.014912923370926,0.4449046855919896,0.9853060420158334,2.2811913815286067
E51,LAGO MAYOR,2016-08-06,2016,8,S2,-15.7371,-69.6038,9.4,0.01358,0.01184,0.00513,0.00297,0.00155,0.00141,0.5989196084456713,-0.3954036302060324,1.1469593625878918,0.43327699043268664,0.8718703334410653,2.647172973260629
E52,LAGO MAYOR,2016-08-06,2016,8,S2,-15.8028,-69.6843,10.3,0.01211,0.01149,0.00455,0.00237,0.00226,0.00209,0.6580086105332893,-0.43266830220272434,1.0539598734586706,0.39599648424747746,0.948802564095577,2.6615378765850815
E58,LAGO MAYOR,2016-08-09,2016,8,S2,-15.9519,-69.5453,5.0,0.01495,0.0142,0.00591,0.00357,0.00243,0.00248,0.5981991784918864,-0.4122326995408901,1.0528168272664207,0.41619715378893285,0.9498327123857718,2.52961040108115
E59,LAGO MAYOR,2016-08-09,2016,8,S2,-15.8876,-69.4615,13.0,0.01231,0.01089,0.00432,0.00242,0.00137,0.00115,0.636363588552698,-0.43195263432264075,1.1303947538664139,0.3966941784486521,0.8846465568930499,2.8495363774221345
E60,LAGO MAYOR,2016-08-09,2016,8,S2,-15.8271,-69.3776,12.0,0.01231,0.01111,0.0044,0.0024,0.00178,0.00161,0.6447075762614675,-0.43262408558194165,1.1080107013491718,0.3960395683132702,0.9025182045070509,2.7977266368803093
E61,LAGO MAYOR,2016-08-08,2016,8,S2,-15.7585,-69.3045,10.2,0.01194,0.01156,0.00481,0.00298,0.00204,0.00177,0.5900962455229543,-0.4123396205046047,1.0328718829695602,0.4160899294039853,0.968174123268499,2.4823279662519817
E68,LAGO MAYOR,2016-08-08,2016,8,S2,-15.9935,-69.4278,5.5,0.0142,0.01279,0.00531,0.00328,0.00201,0.00149,0.5917858997021842,-0.4132596456762627,1.110242290051424,0.41516806761782116,0.900704161922242,2.6741991197365125
E72,LAGO MAYOR,2016-08-09,2016,8,S2,-15.6921,-69.1709,5.8,0.01771,0.02158,0.00696,0.0035,0.00563,0.00549,0.720893113202029,-0.5122634718898572,0.8206672464936402,0.32252083769597606,1.2185205410208615,2.544539864290249
E76,LAGO MAYOR,2016-08-11,2016,8,S2,-15.8125,-69.0449,12.5,0.00938,0.00977,0.00402,0.00235,0.00193,0.002,0.6122111706096395,-0.4169687877470059,0.9600817850479239,0.41146362216339594,1.0415777141175144,2.3333327529023
E78,LAGO MAYOR,2016-08-11,2016,8,S2,-15.8903,-69.1327,13.5,0.0105,0.01088,0.00466,0.003,0.00218,0.00252,0.5677233020372262,-0.40025737450081245,0.9650734407101618,0.42830878416279555,1.0361903775056784,2.25321840059691
E79,LAGO MAYOR,2016-08-11,2016,8,S2,-15.96,-69.2272,11.5,0.01058,0.01074,0.00419,0.00251,0.00187,0.00194,0.6211320285938091,-0.4387139692756886,0.9851023291338615,0.3901303174925217,1.0151227773986031,2.525059063231727
E80,LAGO MAYOR,2016-08-11,2016,8,S2,-16.0316,-69.3198,10.5,0.01175,0.01023,0.00331,0.00171,0.00093,0.00125,0.7135677794331844,-0.5110782488125369,1.1485824879196005,0.32355813063947897,0.8706382237754703,3.5498478701365954
E82,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1109,-69.4173,8.2,0.01425,0.01276,0.00577,0.00385,0.00208,0.00194,0.5364238087643705,-0.3772260994481328,1.1167710723533644,0.4521943219283447,0.8954385336534363,2.4696702825528107
E83,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1837,-69.5067,5.5,0.01488,0.01393,0.00586,0.00336,0.00273,0.00271,0.611335997030885,-0.40778168732785824,1.0681980568414893,0.4206747723851563,0.9361558510647949,2.539248713438786
E84,LAGO MAYOR,2016-08-10,2016,8,S2,-16.2007,-69.4624,4.7,0.01284,0.01293,0.00566,0.00436,0.00652,0.00656,0.49566220383677256,-0.39107044695694204,0.993039366354264,0.4377416521468173,1.0070092673668796,2.268550835945082
E85,LAGO MAYOR,2016-08-10,2016,8,S2,-16.1599,-69.4444,9.8,0.01437,0.01325,0.00574,0.00372,0.00219,0.00239,0.5615792244207882,-0.3954712798593323,1.0845282200356061,0.43320751447490463,0.922059782737663,2.503483884410473
E88,LAGO MAYOR,2016-08-10,2016,8,S2,-16.2064,-69.3781,6.5,0.01485,0.01363,0.00559,0.00372,0.00194,0.00195,0.5711815232748401,-0.4183142342188223,1.0895083573361442,0.4101246947817539,0.91784505603737,2.656529041765824
