observed,predicted_unbounded,predicted_bounded
5.0,6.840025696458276,8.418395383771749
11.0,8.460317677104095,8.71441426838694
11.0,9.11259327466324,8.803733412562828
9.4,8.910502446299137,8.777394714922236
10.3,8.29369304202546,8.689424012904308
5.0,8.286355775068456,8.688300880337344
13.0,8.797718425650391,8.76219727488405
12.0,8.647347734755451,8.741345981897366
5.8,6.910095317895437,8.4342705765638
8.2,8.705920969746145,8.749550293459107
5.5,8.385575936228113,8.703324957767096
4.7,7.910606345572389,8.628012659125273
9.8,8.492077907557798,8.719068793010202
6.5,8.524797188662875,8.723828570273877
7.4,7.953564882256259,8.635194634069753
9.5,8.021130221770392,8.646333312947831
9.0,8.159521520823585,8.668570321150314
9.3,8.32460606910381,8.694134516240315
10.0,7.847818895657925,8.617372130902046
10.5,8.160743898368505,8.66876338027662
10.0,9.778455919598901,8.88330992751043
10.0,9.263943462209406,8.822750938703113
8.0,8.859200184822466,8.770527509523502
9.5,9.44835850524998,8.84515533647002
9.0,7.875656768002424,8.622111065719503
9.0,8.147466259827755,8.666663256030873
6.5,7.327315500331918,8.521902379802913
8.0,6.673842527729854,8.379235346958646
5.4,6.6641072410777715,8.376872105370218
7.0,7.396754174909213,8.535453082916614
6.0,8.08736899656288,8.657071677752961
6.0,5.672578448723254,8.083376883163664
6.0,7.980587602332488,8.639672354792879
6.0,5.653973752523683,8.076582160955166
11.0,9.628284132860495,8.866249369689896
9.0,10.051709952385988,8.913163539885556
10.0,9.275972620858408,8.824237560224125
7.0,11.889510129911146,9.082020973036386
13.0,9.12584200495385,8.80542172830571
11.0,12.357550555994536,9.118053168118156
10.0,8.43656962762623,8.710911621008817
10.0,8.966619432829098,8.78482096850863
11.5,10.763666054315944,8.984542484995709
12.0,11.281238701598385,9.0314343883789
9.0,10.591404989931508,8.96805194091795
11.0,10.4173820371552,8.95090586133821
14.0,10.959395794826047,9.002727740831258
4.0,7.515636720945924,8.558038078576233
9.0,9.107452608364722,8.803077084113271
12.5,9.287490266555997,8.825657606055469
11.5,9.055166664122146,8.79636175491959
13.0,9.1532208734118,8.808896150840557
12.0,9.492790141953973,8.850432781231465
12.0,8.833207105108832,8.767019169504865
4.8,7.149202073166817,8.48585391588167
12.0,9.294761934257135,8.826552465510426
2.5,6.0413834772369635,8.206702759721182
9.5,7.332452381892384,8.522914178915164
3.5,5.5679988260810065,8.044364227270348
1.5,4.576903425023502,7.524604881041516
2.0,5.785489118155145,8.123346390228123
6.5,7.751583863559185,8.600722030344128
8.0,8.493305148675363,8.719247967368803
8.5,9.060194536837,8.797010676834164
8.0,9.880402983616582,8.894622538655458
9.5,9.535434193529952,8.855455269947347
9.0,10.051247204358342,8.913114223118505
12.2,7.582077239919117,8.57033662979798
9.5,9.684242014366935,8.872663020345572
6.5,9.726849396272778,8.87750127087065
7.0,9.59095699384142,8.861933019335508
8.0,9.664169498413255,8.870370206621855
8.0,9.520590980789548,8.85371177914229
9.0,9.843546916306867,8.89055732491123
9.0,9.639005581857944,8.867483490350972
7.0,9.056450863312339,8.796527564483302
9.0,9.958307860597756,8.90312574974087
8.0,9.519035811004684,8.853528818677807
10.0,10.280307244051265,8.937038648746304
9.0,10.022059387301967,8.909995293325215
9.0,9.441051681931862,8.844283067841454
9.0,10.018965927395461,8.909663776391538
10.0,9.69261168743805,8.87361649609462
9.0,9.491790219755673,8.850314514858422
10.0,10.005706731226052,8.908240736723833
10.0,10.085599940655367,8.91676426254681
9.0,9.968266421426808,8.904204054703325
8.0,9.81261653529323,8.887124346211056
9.5,9.854158939370775,8.891730653274758
9.5,9.892495924436853,8.895950406810933
10.0,9.609424178949045,8.864072326178155
9.0,9.57972386904294,8.86062803335678
