feature,value,shap,label
B2,0.016730,0.143231,Blue
B2,0.017450,0.008401,Blue
B2,0.017200,0.028616,Blue
B2,0.019370,0.214639,Blue
B2,0.021030,0.151604,Blue
B2,0.020170,0.117766,Blue
B2,0.019430,0.185179,Blue
B2,0.022490,0.013540,Blue
B2,0.014540,0.039573,Blue
B2,0.017130,0.143716,Blue
B2,0.015300,0.135707,Blue
B2,0.012570,-0.207186,Blue
B2,0.014360,0.007768,Blue
B2,0.012010,-0.118621,Blue
B2,0.015500,0.079589,Blue
B2,0.018670,0.112351,Blue
B2,0.014190,0.024929,Blue
B2,0.009240,-0.175142,Blue
B2,0.007640,-0.551793,Blue
B2,0.016790,0.040882,Blue
B2,0.020560,0.088604,Blue
B2,0.021400,0.094815,Blue
B2,0.025890,-0.030659,Blue
B2,0.016490,0.082934,Blue
B2,0.020620,0.033669,Blue
B2,0.028080,0.090107,Blue
B2,0.025260,0.070642,Blue
B2,0.025580,0.067164,Blue
B2,0.023770,-0.001746,Blue
B2,0.026930,0.089931,Blue
B2,0.019990,0.077968,Blue
B2,0.018490,0.101140,Blue
B2,0.018280,0.118201,Blue
B2,0.017090,0.134405,Blue
B2,0.017900,0.150997,Blue
B2,0.014600,0.093825,Blue
B2,0.010560,0.002489,Blue
B2,0.015140,0.046772,Blue
B2,0.019040,0.094831,Blue
B2,0.015410,0.126125,Blue
B2,0.016970,0.087496,Blue
B2,0.013840,0.075913,Blue
B2,0.013510,0.117993,Blue
B2,0.017060,0.053539,Blue
B2,0.012320,-0.035233,Blue
B2,0.013110,0.006131,Blue
B2,0.015600,0.022516,Blue
B2,0.015000,0.028773,Blue
B2,0.019410,0.096949,Blue
B2,0.018970,0.074423,Blue
B2,0.018300,0.062904,Blue
B2,0.016780,0.012678,Blue
B2,0.023480,0.007509,Blue
B2,0.018650,0.176877,Blue
B2,0.016160,0.082908,Blue
B2,0.017620,0.133123,Blue
B2,0.016830,0.119503,Blue
B2,0.021050,0.126648,Blue
B2,0.017910,0.150908,Blue
B2,0.018820,0.040421,Blue
B2,0.018480,0.065681,Blue
B2,0.017580,0.047163,Blue
B2,0.015020,0.090293,Blue
B2,0.019620,0.091491,Blue
B2,0.021960,0.046039,Blue
B2,0.018030,0.092446,Blue
B2,0.016620,0.115221,Blue
B2,0.013560,-0.416298,Blue
B2,0.013350,-0.379325,Blue
B2,0.015040,0.037135,Blue
B2,0.012770,-0.460235,Blue
B2,0.006750,-0.547051,Blue
B2,0.021660,0.087847,Blue
B2,0.013110,-0.441458,Blue
B2,0.015720,0.121109,Blue
B2,0.013930,0.072367,Blue
B2,0.013900,0.041504,Blue
B2,0.010050,-0.515596,Blue
B2,0.029210,0.010635,Blue
B2,0.017480,0.101541,Blue
B2,0.015560,-0.148758,Blue
B2,0.011010,-0.146389,Blue
B2,0.036630,-0.000372,Blue
B2,0.019050,0.090006,Blue
B2,0.016070,0.147001,Blue
B2,0.021330,0.097513,Blue
B2,0.012410,-0.021679,Blue
B2,0.018840,0.036839,Blue
B2,0.020330,0.073997,Blue
B2,0.015200,-0.025372,Blue
B2,0.043430,-0.025468,Blue
B2,0.017550,0.082028,Blue
B2,0.019570,0.085857,Blue
B2,0.023090,0.043790,Blue
B2,0.031240,0.024050,Blue
B2,0.062410,-0.033023,Blue
B2,0.035000,0.010741,Blue
B2,0.001910,-0.076700,Blue
B2,0.028620,0.043783,Blue
B2,0.028490,0.034948,Blue
B2,0.026730,0.017285,Blue
B2,0.023210,0.009495,Blue
B2,0.020930,0.068151,Blue
B2,0.031670,0.022365,Blue
B2,0.036310,-0.070691,Blue
B2,0.024010,0.005596,Blue
B2,0.055860,-0.059557,Blue
B2,0.035050,-0.031412,Blue
B2,0.024140,-0.008290,Blue
B2,0.027830,0.042896,Blue
B2,0.073220,0.050376,Blue
B2,0.022610,-0.010238,Blue
B2,0.020520,0.014954,Blue
B2,0.021390,0.018606,Blue
B2,0.024120,0.002957,Blue
B2,-0.078590,-0.509651,Blue
B2,0.031130,0.002648,Blue
B2,0.040460,0.005893,Blue
B2,0.032620,0.005876,Blue
B2,0.043820,0.045719,Blue
B2,0.025540,-0.018942,Blue
B2,0.024090,-0.010376,Blue
B2,0.019620,0.023007,Blue
B2,0.036480,0.010939,Blue
B2,0.069810,0.044369,Blue
B2,0.049280,0.049225,Blue
B2,0.023160,0.002530,Blue
B2,0.031880,-0.077167,Blue
B2,0.046040,0.020771,Blue
B2,0.023220,0.026215,Blue
B2,0.019510,0.064155,Blue
B2,0.021490,0.005674,Blue
