band,band_label,ls_roy,s2
B2,Blue,0.02328,0.015
B2,Blue,0.02661,0.01275
B2,Blue,0.02185,0.01115
B2,Blue,0.02832,0.00963
B2,Blue,0.02354,0.02127
B2,Blue,0.02508,0.01941
B2,Blue,0.02541,0.01225
B2,Blue,0.02496,0.01266
B2,Blue,0.02747,0.03032
B2,Blue,0.02374,0.02002
B2,Blue,0.0256,0.01897
B2,Blue,0.02618,0.01358
B2,Blue,0.02264,0.01191
B2,Blue,0.02467,0.0188
B2,Blue,0.02569,0.0183
B2,Blue,0.02464,0.01211
B2,Blue,0.02339,0.01267
B2,Blue,0.08148,0.01071
B2,Blue,0.02588,0.01849
B2,Blue,0.02508,0.01678
B2,Blue,0.04598,0.01187
B2,Blue,0.02433,0.02244
B2,Blue,0.02941,0.02348
B2,Blue,0.02846,0.01495
B2,Blue,0.02341,0.02173
B2,Blue,0.02784,0.01865
B2,Blue,0.02506,0.01231
B2,Blue,0.02286,0.01346
B2,Blue,0.02921,0.0103
B2,Blue,0.02409,0.01954
B2,Blue,0.0261,0.01616
B2,Blue,0.02558,0.01231
B2,Blue,0.02167,0.01253
B2,Blue,0.02804,0.01331
B2,Blue,0.02427,0.0204
B2,Blue,0.02307,0.01762
B2,Blue,0.02338,0.01194
B2,Blue,0.0215,0.01038
B2,Blue,0.02159,0.00944
B2,Blue,0.02439,0.02009
B2,Blue,0.02491,0.01683
B2,Blue,0.02346,0.0142
B2,Blue,0.02764,0.01771
B2,Blue,0.02664,0.01454
B2,Blue,0.0341,0.00957
B2,Blue,0.02998,0.02088
B2,Blue,0.04446,0.02105
B2,Blue,0.02161,0.00938
B2,Blue,0.02181,0.00778
B2,Blue,0.02212,0.00961
B2,Blue,0.02302,0.01673
B2,Blue,0.03205,0.01791
B2,Blue,0.0235,0.0105
B2,Blue,0.02159,0.0117
B2,Blue,0.02872,0.01236
B2,Blue,0.02444,0.01745
B2,Blue,0.02252,0.01848
B2,Blue,0.02322,0.01058
B2,Blue,0.02148,0.01045
B2,Blue,0.02335,0.0172
B2,Blue,0.02321,0.01758
B2,Blue,0.02612,0.01175
B2,Blue,0.02219,0.01271
B2,Blue,0.02352,0.01937
B2,Blue,0.02535,0.01502
B2,Blue,0.02314,0.01425
B2,Blue,0.0238,0.01442
B2,Blue,0.02478,0.01139
B2,Blue,0.0234,0.02103
B2,Blue,0.02494,0.01962
B2,Blue,0.02678,0.01488
B2,Blue,0.02379,0.01528
B2,Blue,0.02229,0.01522
B2,Blue,0.02939,0.02017
B2,Blue,0.02558,0.02196
B2,Blue,0.02813,0.01284
B2,Blue,0.0247,0.01437
B2,Blue,0.02389,0.01485
B2,Blue,0.02369,0.01572
B2,Blue,0.02446,0.01535
B2,Blue,0.02656,0.01943
B2,Blue,0.02668,0.01803
B2,Blue,0.02376,0.01237
B2,Blue,0.02351,0.01725
B2,Blue,0.02175,0.01343
B2,Blue,0.02448,0.02249
B2,Blue,0.02614,0.01662
B2,Blue,0.02509,0.01022
B2,Blue,0.0224,0.01137
B2,Blue,0.02573,0.01376
B2,Blue,0.02136,0.01454
B2,Blue,0.0257,0.01356
B2,Blue,0.02277,0.01067
B2,Blue,0.02218,0.01056
B2,Blue,0.02537,0.01034
B2,Blue,0.02616,0.01713
B2,Blue,0.0242,0.01335
B2,Blue,0.0235,0.01283
B2,Blue,0.02223,0.01204
B2,Blue,0.02806,0.01257
B2,Blue,0.02429,0.0153
B2,Blue,0.02632,0.01504
B2,Blue,0.0251,0.01748
B2,Blue,0.03162,0.01556
B2,Blue,0.02568,0.01101
B2,Blue,0.02697,0.0152
B2,Blue,0.02809,0.01241
B3,Green,0.01776,0.0117
B3,Green,0.02165,0.01389
B3,Green,0.02456,0.01779
B3,Green,0.03492,0.03159
B3,Green,0.04037,0.03608
B3,Green,0.02223,0.01249
B3,Green,0.02632,0.01293
B3,Green,0.03428,0.01655
B3,Green,0.02491,0.01961
B3,Green,0.02799,0.02499
B3,Green,0.02226,0.01338
B3,Green,0.02137,0.01353
B3,Green,0.02385,0.01339
B3,Green,0.0214,0.01847
B3,Green,0.0244,0.01526
B3,Green,0.0227,0.01606
B3,Green,0.02336,0.01334
B3,Green,0.02985,0.02084
B3,Green,0.02081,0.01291
B3,Green,0.02091,0.01279
B3,Green,0.02155,0.01335
B3,Green,0.01955,0.01579
B3,Green,0.02113,0.01397
B3,Green,0.02453,0.01436
B3,Green,0.0215,0.01173
B3,Green,0.03862,0.01249
B3,Green,0.01849,0.01468
B3,Green,0.02071,0.01334
B3,Green,0.02925,0.01795
B3,Green,0.01801,0.01054
B3,Green,0.01682,0.00897
B3,Green,0.01794,0.00494
B3,Green,0.01779,0.00941
B3,Green,0.02081,0.00741
B3,Green,0.02021,0.01222
B3,Green,0.02374,0.00464
B3,Green,0.01851,0.00895
B3,Green,0.01729,0.01834
B3,Green,0.02684,0.00697
B3,Green,0.01772,0.00914
B3,Green,0.03258,0.02831
B3,Green,0.01802,0.01021
B3,Green,0.01765,0.00933
B3,Green,0.02144,0.01528
B3,Green,0.01843,0.01265
B3,Green,0.01966,0.00901
B3,Green,0.01895,0.01105
B3,Green,0.01748,0.00982
B3,Green,0.02048,0.01257
B3,Green,0.01813,0.01438
B3,Green,0.02011,0.01219
B3,Green,0.01704,0.01178
B3,Green,0.01827,0.01066
B3,Green,0.01745,0.00998
B3,Green,0.01795,0.0101
B3,Green,0.01905,0.01072
B3,Green,0.01977,0.00879
B3,Green,0.01967,0.00979
B3,Green,0.01679,0.01265
B3,Green,0.01958,0.00141
B3,Green,0.01857,0.007
B3,Green,0.02089,0.01029
B3,Green,0.01664,0.01548
B3,Green,0.0201,0.00035
B3,Green,0.01903,0.00527
B3,Green,0.02276,0.00539
B3,Green,0.01816,0.01801
B3,Green,0.01876,0.0063
B3,Green,0.02883,0.025
B3,Green,0.03281,0.03239
B3,Green,0.01854,0.00603
B3,Green,0.04864,0.04403
B3,Green,0.06512,0.04478
B3,Green,0.05924,0.06118
B3,Green,0.04519,0.03743
B3,Green,0.01926,0.01022
B3,Green,0.02577,0.01844
B3,Green,0.02358,0.01412
B3,Green,0.03212,0.03135
B3,Green,0.02646,0.0169
B3,Green,0.04375,0.04063
B3,Green,0.02296,0.01444
B3,Green,0.02464,0.02118
B3,Green,0.02552,0.01671
B3,Green,0.02106,0.01399
B3,Green,0.02479,0.01899
B3,Green,0.0255,0.01819
B3,Green,0.02888,0.02277
B3,Green,0.02512,0.02129
B3,Green,0.03846,0.04004
B3,Green,0.04421,0.03814
B3,Green,0.02086,0.01042
B3,Green,0.01779,0.01185
B3,Green,0.02486,0.00798
B3,Green,0.02454,0.01635
B3,Green,0.02633,0.02581
B3,Green,0.02372,0.01605
B3,Green,0.02718,0.01909
B3,Green,0.02739,0.02702
B3,Green,0.03053,0.02229
B3,Green,0.0287,0.02077
B3,Green,0.02869,0.02637
B3,Green,0.03376,0.02436
B3,Green,0.02758,0.01934
B3,Green,0.0356,0.03478
B3,Green,0.02258,0.01252
B3,Green,0.02129,0.0136
B3,Green,0.02217,0.01195
B3,Green,0.02534,0.01381
B3,Green,0.02416,0.01656
B3,Green,0.03845,0.01614
B3,Green,0.02187,0.00984
B3,Green,0.02709,0.0179
B3,Green,0.03138,0.02317
B3,Green,0.02864,0.01669
B3,Green,0.02048,0.01127
B3,Green,0.01918,0.01096
B3,Green,0.01994,0.00449
B3,Green,0.01878,0.01378
B3,Green,0.02064,0.01067
B3,Green,0.02108,0.01407
B3,Green,0.02217,0.01192
B3,Green,0.04041,0.02053
B3,Green,0.02259,0.01545
B3,Green,0.02476,0.01162
B3,Green,0.022,0.0105
B3,Green,0.02042,0.01998
B3,Green,0.02153,0.01311
B3,Green,0.02629,0.00945
B3,Green,0.02257,0.01233
B3,Green,0.02171,0.00491
B3,Green,0.02917,0.02217
B3,Green,0.02227,0.01413
B3,Green,0.06118,0.05426
B3,Green,0.02352,0.01018
B3,Green,0.02245,0.01014
B3,Green,0.022,0.00697
B3,Green,0.0277,0.02145
B3,Green,0.01983,0.01185
B3,Green,0.01924,0.01143
B3,Green,0.02906,0.01181
B3,Green,0.03056,0.01022
B3,Green,0.05579,0.05142
B3,Green,0.03294,0.02376
B3,Green,0.02722,0.01886
B3,Green,0.01864,0.01117
B3,Green,0.0179,0.00658
B3,Green,0.02035,0.0027
B3,Green,0.01936,0.00953
B3,Green,0.01947,0.01192
B3,Green,0.01889,0.01165
B3,Green,0.02136,0.00718
B3,Green,0.01856,0.01281
B3,Green,0.01952,0.01017
B3,Green,0.01921,0.01272
B3,Green,0.01777,0.01119
B3,Green,0.02131,0.00774
B3,Green,0.01756,0.01349
B3,Green,0.01988,0.012
B3,Green,0.0174,0.00908
B3,Green,0.01686,0.01049
B3,Green,0.01881,0.00888
B3,Green,0.01828,0.01515
B3,Green,0.01881,0.01146
B3,Green,0.01986,0.01188
B3,Green,0.01758,0.0094
B3,Green,0.02194,0.00818
B3,Green,0.01804,0.01492
B3,Green,0.01886,0.01594
B3,Green,0.0197,0.01207
B3,Green,0.02217,0.01068
B3,Green,0.02286,0.02802
B3,Green,0.01768,0.0143
B3,Green,0.01919,0.0151
B3,Green,0.0196,0.01184
B3,Green,0.01721,0.00965
B3,Green,0.01781,0.0129
B3,Green,0.01959,0.01478
B3,Green,0.01945,0.01149
B3,Green,0.01869,0.01
B3,Green,0.0795,0.00929
B3,Green,0.01904,0.01346
B3,Green,0.01935,0.01348
B3,Green,0.0592,0.01016
B3,Green,0.01893,0.0166
B3,Green,0.02432,0.01892
B3,Green,0.02524,0.0142
B3,Green,0.02117,0.01824
B3,Green,0.02685,0.01679
B3,Green,0.01859,0.01089
B3,Green,0.01782,0.01023
B3,Green,0.02454,0.00847
B3,Green,0.01769,0.01404
B3,Green,0.02038,0.0131
B3,Green,0.01935,0.01111
B3,Green,0.01684,0.009
B3,Green,0.02321,0.01139
B3,Green,0.01866,0.01425
B3,Green,0.01925,0.01433
B3,Green,0.01754,0.01156
B3,Green,0.01691,0.00841
B3,Green,0.01818,0.00786
B3,Green,0.01841,0.01458
B3,Green,0.02045,0.01482
B3,Green,0.01813,0.01279
B3,Green,0.03056,0.02158
B3,Green,0.03033,0.01842
B3,Green,0.03851,0.01309
B3,Green,0.03036,0.02083
B3,Green,0.05031,0.02437
B3,Green,0.01765,0.00977
B3,Green,0.01844,0.00765
B3,Green,0.01947,0.00905
B3,Green,0.01849,0.01334
B3,Green,0.02858,0.0149
B3,Green,0.01825,0.01088
B3,Green,0.017,0.00841
B3,Green,0.02255,0.00882
B3,Green,0.01766,0.01269
B3,Green,0.01892,0.0147
B3,Green,0.01832,0.01074
B3,Green,0.01671,0.00792
B3,Green,0.01738,0.01265
B3,Green,0.01987,0.01581
B3,Green,0.01977,0.01023
B3,Green,0.01759,0.01002
B3,Green,0.01761,0.01347
B3,Green,0.01977,0.01112
B3,Green,0.01793,0.01276
B3,Green,0.01915,0.01204
B3,Green,0.0205,0.00873
B3,Green,0.01815,0.01519
B3,Green,0.02068,0.01594
B3,Green,0.02295,0.01393
B3,Green,0.02026,0.01341
B3,Green,0.01974,0.01269
B3,Green,0.0245,0.01656
B3,Green,0.02257,0.01905
B3,Green,0.02735,0.01293
B3,Green,0.01942,0.01325
B3,Green,0.01893,0.01363
B3,Green,0.01996,0.014
B3,Green,0.02097,0.01193
B3,Green,0.02152,0.0149
B3,Green,0.02223,0.01473
B3,Green,0.0209,0.01237
B3,Green,0.0199,0.01504
B3,Green,0.01935,0.01009
B3,Green,0.02012,0.01866
B3,Green,0.02314,0.01346
B3,Green,0.01898,0.01011
B3,Green,0.01796,0.00852
B3,Green,0.02192,0.0104
B3,Green,0.01645,0.01149
B3,Green,0.02032,0.00947
B3,Green,0.01773,0.01033
B3,Green,0.01719,0.00815
B3,Green,0.02042,0.00677
B3,Green,0.01983,0.01301
B3,Green,0.01899,0.00761
B3,Green,0.01799,0.01247
B3,Green,0.01851,0.0102
B3,Green,0.02486,0.01067
B3,Green,0.01964,0.01239
B3,Green,0.0216,0.01241
B3,Green,0.0261,0.01951
B3,Green,0.04743,0.02821
B3,Green,0.04172,0.03497
B3,Green,0.03552,0.02351
B3,Green,0.03704,0.02183
B4,Red,0.01154,0.00397
B4,Red,0.01332,0.00682
B4,Red,0.01488,0.00608
B4,Red,0.01776,0.01027
B4,Red,0.0185,0.00856
B4,Red,0.01376,0.00476
B4,Red,0.01782,0.00416
B4,Red,0.02456,0.00785
B4,Red,0.01736,0.01081
B4,Red,0.01668,0.00755
B4,Red,0.01351,0.0039
B4,Red,0.01291,0.00427
B4,Red,0.01457,0.00482
B4,Red,0.01369,0.00974
B4,Red,0.01343,0.00564
B4,Red,0.01316,0.00557
