feature,label,value,shap,zona
B3_B2,Green/Blue,0.7754055699909846,0.593693293243635,LAGO MAYOR
B3_B2,Green/Blue,1.265450732983715,-1.6368062588647077,BAHIA PUNO
B3_B2,Green/Blue,0.9449151875059896,-1.3770127631443987,BAHIA PUNO
B3_B2,Green/Blue,1.0167682151853494,-1.5296843394004167,BAHIA PUNO
B3_B2,Green/Blue,0.9208273237640996,-0.8334840232129787,BAHIA PUNO
B3_B2,Green/Blue,1.137876296523273,-1.8446660915034359,BAHIA PUNO
B3_B2,Green/Blue,0.9302140420131608,-0.7510541491126138,BAHIA PUNO
B3_B2,Green/Blue,1.2904384406586311,-1.9210310527700671,BAHIA PUNO
B3_B2,Green/Blue,0.9084443636938344,-0.40252182000252357,BAHIA PUNO
B3_B2,Green/Blue,0.934529064167797,-0.6717389051472459,BAHIA PUNO
B3_B2,Green/Blue,0.9564552363288592,-1.3958777829232119,BAHIA PUNO
B3_B2,Green/Blue,1.1146084653261932,-1.7931560443565868,BAHIA PUNO
B3_B2,Green/Blue,1.3705971385453952,-2.0606487490678775,BAHIA PUNO
B3_B2,Green/Blue,0.9867548852024102,-0.46329023256505725,LAGO MAYOR
B3_B2,Green/Blue,0.982824364960282,-0.767800978821416,LAGO MAYOR
B3_B2,Green/Blue,1.0139483890613317,-0.5699378394920465,LAGO MAYOR
B3_B2,Green/Blue,1.4902498904078585,-1.7437055544536777,LAGO MAYOR
B3_B2,Green/Blue,1.0738395491730433,-1.0178414011214951,LAGO MAYOR
B3_B2,Green/Blue,1.2379453628988089,-1.5200702976292066,LAGO MAYOR
B3_B2,Green/Blue,0.926202244925187,-0.7256183390379572,LAGO MAYOR
B3_B2,Green/Blue,0.8502139193855979,0.5052850474112277,LAGO MAYOR
B3_B2,Green/Blue,0.8827202718445336,0.49768692347267124,LAGO MAYOR
B3_B2,Green/Blue,0.8736433431284231,0.02242327839827654,LAGO MAYOR
B3_B2,Green/Blue,0.8577268309299403,0.41548658038802155,LAGO MAYOR
B3_B2,Green/Blue,0.931764632802774,-0.9650831649574444,LAGO MAYOR
B3_B2,Green/Blue,0.9853060420158334,-1.1972541607081912,LAGO MAYOR
B3_B2,Green/Blue,0.8718703334410653,-0.31819103800481113,LAGO MAYOR
B3_B2,Green/Blue,0.948802564095577,-0.5135390199848058,LAGO MAYOR
B3_B2,Green/Blue,0.9498327123857718,-1.194031812231119,LAGO MAYOR
B3_B2,Green/Blue,0.8846465568930499,-0.3085663690910238,LAGO MAYOR
B3_B2,Green/Blue,0.9025182045070508,-0.5519974826230405,LAGO MAYOR
B3_B2,Green/Blue,0.968174123268499,-0.9143657424833731,LAGO MAYOR
B3_B2,Green/Blue,0.900704161922242,-0.18050076156871872,LAGO MAYOR
B3_B2,Green/Blue,1.2185205410208615,-1.983381815401385,LAGO MAYOR
B3_B2,Green/Blue,1.0415777141175144,-0.5319827850492086,LAGO MAYOR
B3_B2,Green/Blue,1.0361903775056784,-0.7119095257490956,LAGO MAYOR
B3_B2,Green/Blue,1.0151227773986031,-0.48102401816980517,LAGO MAYOR
B3_B2,Green/Blue,0.8706382237754703,0.044343519328242625,LAGO MAYOR
B3_B2,Green/Blue,0.8954385336534363,-0.8362038614410334,LAGO MAYOR
B3_B2,Green/Blue,0.9361558510647948,-1.023352821023551,LAGO MAYOR
B3_B2,Green/Blue,1.0070092673668796,-1.4735623187325266,LAGO MAYOR
B3_B2,Green/Blue,0.922059782737663,-1.0648780680752468,LAGO MAYOR
B3_B2,Green/Blue,0.91784505603737,-1.049020463035372,LAGO MAYOR
B3_B2,Green/Blue,0.9999999191592628,-1.0405008810526262,LAGO MAYOR
B3_B2,Green/Blue,0.9892366938124566,-0.625043701468837,LAGO MAYOR
B3_B2,Green/Blue,0.9681348670913902,-0.5848396240770772,LAGO MAYOR
B3_B2,Green/Blue,0.9719406880794476,-1.4158142878234448,LAGO MAYOR
B3_B2,Green/Blue,0.90239718301394,-0.1907250793829613,LAGO MAYOR
B3_B2,Green/Blue,0.9361923706911746,-0.5353066417541206,LAGO MAYOR
B3_B2,Green/Blue,0.9444957498153792,-0.5622691800619406,LAGO MAYOR
B3_B2,Green/Blue,1.017495302256418,-0.6350532988196611,LAGO MAYOR
