station,zona,campaign_date,year,sensor,secchi,zone_label,predicted,lower,upper,width,covered
E45,LAGO MAYOR,2017-07-27,2017,S2,11.0,Lago Mayor,10.187153316067755,6.754615646848084,13.619690985287427,6.865075338439343,True
E01,BAHIA PUNO,2016-08-03,2016,S2,8.5,Bahia de Puno,7.867964441558448,4.938992979745851,10.796935903371045,5.857942923625194,True
E02,BAHIA PUNO,2016-08-03,2016,S2,9.5,Bahia de Puno,7.937797793317791,5.008826331505194,10.866769255130388,5.857942923625194,True
E04,BAHIA PUNO,2016-08-03,2016,S2,7.0,Bahia de Puno,6.952724220662032,4.023752758849435,9.881695682474628,5.857942923625194,True
E05,BAHIA PUNO,2016-08-03,2016,S2,7.0,Bahia de Puno,8.587717456709951,5.658745994897354,11.516688918522547,5.857942923625193,True
E07,BAHIA PUNO,2016-08-03,2016,S2,5.0,Bahia de Puno,7.1259957647907655,4.197024302978169,10.054967226603363,5.8579429236251945,True
E08,BAHIA PUNO,2016-08-03,2016,S2,8.5,Bahia de Puno,10.158468747918747,7.22949728610615,13.087440209731344,5.8579429236251945,True
E09,BAHIA PUNO,2016-08-03,2016,S2,6.0,Bahia de Puno,7.1656464430014415,4.236674981188845,10.094617904814038,5.857942923625194,True
E13,BAHIA PUNO,2016-08-04,2016,S2,9.0,Bahia de Puno,10.620669924519932,7.691698462707335,13.549641386332528,5.857942923625193,True
E14,BAHIA PUNO,2016-08-04,2016,S2,9.5,Bahia de Puno,10.240476428571432,7.311504966758835,13.169447890384028,5.857942923625193,True
E15,BAHIA PUNO,2016-08-04,2016,S2,8.5,Bahia de Puno,8.746454807525803,5.817483345713206,11.675426269338399,5.857942923625193,True
E16,BAHIA PUNO,2016-08-04,2016,S2,6.5,Bahia de Puno,5.557102246957724,2.628130785145127,8.48607370877032,5.857942923625193,True
E17,BAHIA PUNO,2016-08-04,2016,S2,3.5,Bahia de Puno,4.966311306027307,2.03733984421471,7.895282767839904,5.857942923625194,True
