,0
B3_B2,1.2212872307140399
B3,0.5542619407209798
B2_B3,0.41440715513183546
B12,0.20988294368111024
B11,0.15516374971837366
B2_B4,0.10798444693560334
NDTI,0.09944762493234698
B4_B3,0.09057454090689171
B8,0.07597156028674505
B4,0.06732304007986148
B2,0.06704014307472218
NDWI,0.06078082083045907
