,R2,RMSE,MAE,n
Classical_B2B3_loglin,0.3876755182826088,2.417044439743431,1.9084987128906254,274.0
LinearReg_full,0.48107576108837147,2.2250808813459244,1.7440163555793329,274.0
RandomForest,0.63622259979052,1.8629949646031216,1.4799880409705737,274.0
XGBoost,0.6018462334212231,1.94903320409809,1.5442420038863691,274.0
