,0
Green/Blue,1.2228087907240563
Green,0.5530978752163093
Blue/Green,0.41381064565844644
SWIR2,0.20900074995850207
SWIR1,0.15625950821989487
Blue/Red,0.10882386956409967
NDTI,0.09989772133450434
Red/Green,0.09048689031519394
NIR,0.07565627247682458
Blue,0.06728913661930293
Red,0.06702226833099494
NDWI,0.0619765328635659
