,R2,RMSE,MAE,n
Classical_B2B3,-2.744290821474809,5.508531535071029,1.9361483651296223,812.0
Linear_full,0.25755193696716094,2.45292400087233,1.7930081125698978,812.0
RF_combined,0.5958604208720452,1.8097423345586998,1.3992576111332304,812.0
XGB_combined,0.5674055740975515,1.8723693053907207,1.4402793885451821,812.0
RF_S2_only,0.6393595204968254,1.8549450957632405,1.4638463743572796,274.0
RF_LS_only,0.5805830301398834,1.750777476707308,1.3336180123320058,538.0
